V1,V2,V3
-122.56062992126,44.9664804469274,580
-122.543897637795,44.9664804469274,554
-122.527165354331,44.9664804469274,653
-122.510433070866,44.9664804469274,738
-122.493700787402,44.9664804469274,765
-122.476968503937,44.9664804469274,665
-122.460236220472,44.9664804469274,540
-122.443503937008,44.9664804469274,540
-122.426771653543,44.9664804469274,629
-122.410039370079,44.9664804469274,635
-122.393307086614,44.9664804469274,725
-122.37657480315,44.9664804469274,562
-122.359842519685,44.9664804469274,667
-122.34311023622,44.9664804469274,878
-122.326377952756,44.9664804469274,1087
-122.309645669291,44.9664804469274,1207
-122.292913385827,44.9664804469274,1024
-122.276181102362,44.9664804469274,1160
-122.259448818898,44.9664804469274,1067
-122.242716535433,44.9664804469274,1148
-122.225984251968,44.9664804469274,1227
-122.209251968504,44.9664804469274,1028
-122.192519685039,44.9664804469274,894
-122.175787401575,44.9664804469274,819
-122.15905511811,44.9664804469274,761
-122.142322834646,44.9664804469274,842
-122.125590551181,44.9664804469274,820
-122.108858267717,44.9664804469274,976
-122.092125984252,44.9664804469274,1104
-122.075393700787,44.9664804469274,1023
-122.058661417323,44.9664804469274,899
-122.041929133858,44.9664804469274,790
-122.025196850394,44.9664804469274,702
-122.008464566929,44.9664804469274,849
-121.991732283465,44.9664804469274,1011
-121.975,44.9664804469274,1287
-126.225,44.9497206703911,-2804
-126.208267716535,44.9497206703911,-2808
-126.191535433071,44.9497206703911,-2813
-126.174803149606,44.9497206703911,-2819
-126.158070866142,44.9497206703911,-2825
-126.141338582677,44.9497206703911,-2830
-126.124606299213,44.9497206703911,-2832
-126.107874015748,44.9497206703911,-2834
-126.091141732283,44.9497206703911,-2834
-126.074409448819,44.9497206703911,-2836
-126.057677165354,44.9497206703911,-2836
-126.04094488189,44.9497206703911,-2829
-126.024212598425,44.9497206703911,-2802
-126.007480314961,44.9497206703911,-2807
-125.990748031496,44.9497206703911,-2808
-125.974015748031,44.9497206703911,-2806
-125.957283464567,44.9497206703911,-2808
-125.940551181102,44.9497206703911,-2813
-125.923818897638,44.9497206703911,-2815
-125.907086614173,44.9497206703911,-2819
-125.890354330709,44.9497206703911,-2833
-125.873622047244,44.9497206703911,-2837
-125.85688976378,44.9497206703911,-2840
-125.840157480315,44.9497206703911,-2836
-125.82342519685,44.9497206703911,-2831
-125.806692913386,44.9497206703911,-2827
-125.789960629921,44.9497206703911,-2819
-125.773228346457,44.9497206703911,-2815
-125.756496062992,44.9497206703911,-2813
-125.739763779528,44.9497206703911,-2811
-125.723031496063,44.9497206703911,-2807
-125.706299212598,44.9497206703911,-2805
-125.689566929134,44.9497206703911,-2804
-125.672834645669,44.9497206703911,-2803
-125.656102362205,44.9497206703911,-2798
-125.63937007874,44.9497206703911,-2792
-125.622637795276,44.9497206703911,-2778
-125.605905511811,44.9497206703911,-2760
-125.589173228346,44.9497206703911,-2765
-125.572440944882,44.9497206703911,-2764
-125.555708661417,44.9497206703911,-2758
-125.538976377953,44.9497206703911,-2769
-125.522244094488,44.9497206703911,-2773
-125.505511811024,44.9497206703911,-2775
-125.488779527559,44.9497206703911,-2777
-125.472047244094,44.9497206703911,-2782
-125.45531496063,44.9497206703911,-2799
-125.438582677165,44.9497206703911,-2803
-125.421850393701,44.9497206703911,-2787
-125.405118110236,44.9497206703911,-2758
-125.388385826772,44.9497206703911,-2663
-125.371653543307,44.9497206703911,-2543
-125.354921259843,44.9497206703911,-2455
-125.338188976378,44.9497206703911,-2418
